UCZBgDquM-uT1pL4b9hMu30g
Velosofy Community
6 0.942933083177 0.262
11 0.848528449967 0.133
122 0.463977566868 0.236
10 0.777313432835 0.041
10 0.898326359832 0.212
11 0.791947531427 0.069
11 0.859003255697 0.149
11 0.766171328671 0.05
11 0.852455465918 0.139
10 0.729914529915 0.023
9 0.854814814815 0.106
11 0.716612377851 0.028
11 0.785697592896 0.065
11 0.843226188129 0.125
11 0.863909637457 0.156
11 0.790289256199 0.068
9 1.02247912653 1.0
33 0.659071129044 0.125
11 0.805002246518 0.081
11 0.868181818182 0.164
10 0.950521609538 0.343
8 0.843957871397 0.099
10 0.800782472614 0.059
11 0.85365335599 0.141
23 0.681690404797 0.078
11 0.885381593715 0.198
11 0.922352120049 0.28
12 0.724977658624 0.031
8 0.873368473896 0.143
11 0.744335664336 0.039
11 0.904712260218 0.242
12 0.719402447804 0.029
10 0.780188679246 0.044
271 0.178074038805 0.039
11 0.766433566433 0.05
